iter	Logloss
0	0.6887761423
1	0.6839846425
2	0.6799861843
3	0.6753197835
4	0.6710945495
5	0.6665560504
6	0.6615599338
7	0.6576786494
8	0.6534994132
9	0.6496445273
10	0.6453897765
11	0.6416576372
12	0.63765022
13	0.6339008746
14	0.6298274676
15	0.6258741047
16	0.622674545
17	0.6188545795
18	0.6150680887
19	0.6115212503
20	0.6077701345
21	0.6041520505
22	0.6002559292
23	0.5972358413
24	0.5941979256
25	0.5916447329
26	0.5888322411
27	0.585829921
28	0.5828279078
29	0.5799663828
30	0.5774513665
31	0.5747658983
32	0.5720882122
33	0.5695746304
34	0.5668371074
35	0.5638293834
36	0.561310052
37	0.5582835582
38	0.5552001381
39	0.5525205531
40	0.5499852873
41	0.5477483434
42	0.5449375446
43	0.5430855615
44	0.540830825
45	0.5384488415
46	0.5364637604
47	0.5344105575
48	0.5319525737
49	0.5299702311
50	0.5278814416
51	0.5256754938
52	0.5237060568
53	0.5213860786
54	0.5191262917
55	0.5171977999
56	0.5147612514
57	0.5126572828
58	0.5107645171
59	0.5089314755
60	0.5067019045
61	0.505027378
62	0.5032137365
63	0.5010360139
64	0.4993701437
65	0.4974741602
66	0.4956240361
67	0.4947271718
68	0.4928207899
69	0.4906242927
70	0.4888169752
71	0.4867169842
72	0.4851874579
73	0.4836560478
74	0.4819800453
75	0.4804215134
76	0.4788392744
77	0.4770937946
78	0.4754374727
79	0.4739089199
80	0.4725482706
81	0.4712180302
82	0.4701484601
83	0.4684047171
84	0.4667605485
85	0.4653662922
86	0.4638384308
87	0.4621757678
88	0.4607971999
89	0.4597681958
90	0.4584895403
91	0.4573446136
92	0.4562488844
93	0.4549963313
94	0.4539536906
95	0.452501528
96	0.4514560904
97	0.4505503091
98	0.4491842822
99	0.4482347615
100	0.4472804092
101	0.4463322492
102	0.445415916
103	0.4443192128
104	0.4432123122
105	0.4422641701
106	0.4410612375
107	0.4398980154
108	0.4390011044
109	0.4378576888
110	0.4368231622
111	0.4359553082
112	0.4348104059
113	0.4334933164
114	0.4326820593
115	0.4317251574
116	0.4306993195
117	0.4296166588
118	0.4288198187
119	0.4277641404
120	0.426828503
121	0.4258951454
122	0.4249454464
123	0.4238960092
124	0.4230648041
125	0.4220631709
126	0.4208719942
127	0.4202615142
128	0.41905805
129	0.4185312773
130	0.4178337385
131	0.417103926
132	0.4161117497
133	0.4152445693
134	0.4143980212
135	0.4135565576
136	0.4124819903
137	0.4115203689
138	0.4106812598
139	0.409744535
140	0.4089128193
141	0.408257881
142	0.4075921091
143	0.4066237575
144	0.4052979611
145	0.4045295265
146	0.4036324806
147	0.4028276112
148	0.4019609041
149	0.400945204
150	0.400138887
151	0.3995757845
152	0.3990848693
153	0.3981945613
154	0.3972937448
155	0.396499714
156	0.3958085484
157	0.3949738616
158	0.3943684536
159	0.3936331494
160	0.3930473541
161	0.3924182006
162	0.3919137832
163	0.3912197985
164	0.3903478848
165	0.3896370799
166	0.3889218565
167	0.3880564574
168	0.3872418814
169	0.3865154238
170	0.3857661493
171	0.3850702766
172	0.3843458454
173	0.3836576133
174	0.3830129148
175	0.3823546497
176	0.3816252285
177	0.3807263106
178	0.379990148
179	0.379318015
180	0.3787475192
181	0.3781872857
182	0.3775306206
183	0.3768749506
184	0.3765312679
185	0.3755840858
186	0.3750159283
