iter	Passed	Remaining
414	2516	3547
415	2519	3536
416	2523	3528
417	2526	3518
418	2530	3508
419	2551	3524
420	2559	3519
421	2569	3519
422	2579	3518
423	2585	3511
424	2591	3506
425	2596	3498
426	2599	3487
427	2606	3483
428	2611	3475
429	2616	3468
430	2625	3465
431	2630	3458
432	2634	3449
433	2637	3440
434	2640	3429
435	2642	3418
436	2647	3410
437	2650	3401
438	2654	3391
439	2656	3380
440	2659	3370
441	2661	3360
442	2663	3349
443	2665	3337
444	2667	3326
445	2669	3315
446	2671	3305
447	2673	3294
448	2678	3286
449	2682	3278
450	2686	3270
451	2689	3261
452	2694	3254
453	2700	3248
454	2703	3237
455	2707	3230
456	2711	3221
457	2716	3215
458	2720	3206
459	2723	3196
460	2726	3187
461	2730	3179
462	2732	3169
463	2735	3160
464	2738	3151
465	2742	3142
466	2746	3134
467	2751	3127
468	2755	3119
469	2757	3109
470	2761	3101
471	2765	3093
472	2768	3084
473	2771	3075
474	2773	3065
475	2775	3055
476	2776	3044
477	2778	3033
478	2779	3023
479	2780	3012
480	2782	3002
481	2783	2991
482	2785	2981
483	2786	2971
484	2790	2963
485	2794	2955
486	2797	2946
487	2799	2937
488	2800	2926
489	2802	2916
490	2803	2906
491	2806	2897
492	2807	2887
493	2809	2877
494	2811	2868
495	2813	2859
496	2816	2850
497	2818	2841
498	2821	2832
499	2823	2823
500	2825	2814
501	2828	2806
502	2831	2797
503	2833	2788
504	2835	2779
505	2838	2771
506	2840	2762
507	2843	2753
508	2845	2744
509	2848	2736
510	2850	2727
511	2852	2718
512	2854	2710
513	2857	2701
514	2859	2692
515	2861	2684
516	2864	2676
517	2866	2667
518	2869	2659
519	2871	2650
520	2874	2642
521	2875	2633
522	2879	2626
523	2884	2620
524	2888	2613
525	2893	2607
526	2896	2599
527	2899	2592
528	2904	2585
529	2907	2578
530	2911	2571
531	2913	2562
532	2915	2554
533	2920	2548
534	2924	2541
535	2927	2534
536	2930	2526
537	2934	2519
538	2937	2512
539	2943	2507
540	2947	2501
541	2950	2492
542	2954	2486
543	2959	2480
544	2963	2474
545	2967	2467
546	2971	2460
547	2976	2454
548	2980	2448
549	2984	2441
550	2987	2434
551	2992	2428
552	2995	2421
553	2998	2414
554	3001	2406
555	3005	2400
556	3010	2393
557	3012	2386
558	3015	2378
559	3017	2370
560	3019	2363
561	3021	2354
562	3022	2346
563	3024	2338
564	3027	2330
565	3029	2323
566	3032	2315
567	3034	2307
568	3036	2299
569	3038	2291
570	3040	2284
571	3042	2276
572	3044	2268
573	3046	2261
574	3049	2254
575	3052	2247
576	3054	2239
577	3056	2231
578	3059	2224
579	3060	2216
580	3061	2208
581	3064	2200
582	3066	2193
583	3071	2187
584	3074	2181
585	3077	2174
586	3079	2166
587	3082	2159
588	3085	2152
589	3087	2145
590	3089	2138
591	3092	2131
592	3095	2124
593	3097	2117
594	3101	2111
595	3103	2103
596	3106	2097
597	3109	2090
598	3111	2082
599	3114	2076
600	3118	2070
601	3120	2063
602	3123	2056
603	3125	2049
604	3128	2042
605	3131	2035
606	3132	2028
607	3137	2022
608	3139	2015
609	3142	2009
610	3145	2002
611	3149	1996
612	3152	1990
613	3156	1984
614	3159	1977
615	3160	1970
616	3161	1962
617	3162	1955
618	3164	1947
619	3165	1940
620	3166	1932
621	3168	1925
622	3170	1918
623	3171	1911
624	3173	1904
625	3175	1896
626	3176	1889
627	3177	1882
628	3179	1875
629	3181	1868
630	3183	1861
631	3184	1854
632	3185	1847
633	3187	1839
634	3188	1832
635	3190	1825
636	3191	1818
637	3192	1811
638	3194	1804
639	3195	1797
640	3197	1790
641	3198	1783
642	3200	1776
643	3201	1769
644	3203	1763
645	3204	1756
646	3206	1749
647	3208	1742
648	3210	1736
649	3212	1729
650	3213	1722
651	3216	1716
652	3220	1711
653	3223	1705
654	3228	1700
655	3230	1694
656	3232	1687
657	3235	1681
658	3237	1675
659	3238	1668
660	3241	1662
661	3244	1656
662	3245	1649
663	3247	1643
664	3249	1637
665	3250	1630
666	3252	1623
667	3253	1617
